County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Orange,747948,Store,JAC,ANDYS PIT STOP LLC,ANDYS PIT STOP,307,BROADWAY,,,NEWBURGH,NY,12550,2500,POINT (-74.02158 41.50073)
Bronx,747916,Store,JAC,1269 BRONX DELI GROCERY CORP,1269 BRONX DELI GROCERY,1269,GRAND CONCOURSE,,,BRONX,NY,10452,0,POINT (-73.91633 40.83617)
Queens,747888,Store,JAC,M&W DELI INC,M&W DELI,54-00,MYRTLE AVENUE,,,RIDGEWOOD,NY,11385,0,POINT (-73.91078 40.69959)
Kings,747878,Store,A,WALGREENS EASTERN CO INC,WALGREENS #21337,285,BROADWAY,,,BROOKLYN,NY,11211,5000,POINT (-73.95842 40.70861)
Dutchess,747843,Store,A,DREAM BURNER SMOKE AND CONVENIENC,DREAM BURNER SMOKE AND,530,MAIN STREET,,,POUGHKEEPSIE,NY,12601,1200,POINT (-73.91737 41.7005)
Bronx,747837,Store,JAC,SANTANA GROCERY DELI CORP,SANTANA GROCERY DELI,2001,WHITE PLAINS ROAD,,,BRONX,NY,10462,0,POINT (-73.86791 40.84997)
Schenectady,747816,Store,JAC,BROADWAY SCHENECTADY PETROLEUM IN,BROADWAY SCHENECTADY PE,2302,BROADWAY,,,SCHENECTADY,NY,12306,0,POINT (-73.96974 42.79604)
Westchester,747753,Store,JAC,ANTHONY DIMEGLIO,DOBBS FERRY LOBSTER GUY,26,MAIN STREET,,,DOBBS FERRY,NY,10522,600,POINT (-73.87753 41.01278)
Bronx,747748,Store,JAC,ABU YEMEN MEAT MARKET CORP,ABU YEMEN MEAT MARKET,1202,WHITE PLAINS ROAD,,,BRONX,NY,10472,0,POINT (-73.86171 40.83067)
Richmond,747747,Store,JAC,LA PLAZA DELI CORP,LA PLAZA DELI,400,VICTORY BOULEVARD,,,STATEN ISLAND,NY,10301,800,POINT (-74.08694 40.6325)
Kings,747742,Store,JAC,86 ST DELI AND GRILL INC,86 ST DELI AND GRILL,1981,86TH STREET,,,BROOKLYN,NY,11214,2000,POINT (-73.99841 40.6047)
Kings,747686,Store,JAC,BRIYANA ORGANICS DELI 2 CORP,BRIYANA ORGANICS DELI 2,1017,BEDFORD AVENUE,,,BROOKLYN,NY,11205,1500,POINT (-73.95507 40.68916)
Richmond,747684,Store,JAC,BAGELS ON THE LANE CORP,BAGELS ON THE LANE,166,NEW DORP LANE,,,STATEN ISLAND,NY,10306,2500,POINT (-74.11528 40.57342)
Suffolk,747676,Store,JAC,LOVE OF COUNTRY LLC,LOVE OF COUNTRY,333-8,MAIN STREET,,,CENTER MORICHES,NY,11934,1300,POINT (-72.79197 40.80071)
Queens,747652,Store,JAC,LA PLAZITA DELI & GROCERY INC,LA PLAZITA DELI & GROCE,95-14,JAMAICA AVENUE,,,WOODHAVEN,NY,11421,800,POINT (-73.84985 40.69437)
Queens,747642,Store,A,BHAKTI 71 INC,STOP & GO CONVENIENCE,71-31,ROOSEVELT AVENUE,,,JACKSON HEIGHTS,NY,11372,800,POINT (-73.89374 40.74661)
Bronx,747626,Store,JAC,JUAN DIAZ MARTINEZ & MARGARITO CI,DELI TAQUERIA XOCHITLAL,1507,WHITE PLAINS ROAD,,,BRONX,NY,10462,300,POINT (-73.8636 40.83805)
